bay_id,rd_seg_dsc,lat,lon
6589,St Kilda Road between Moubray Street and High Street,-37.81317468,144.940706
6304,Stanley Street between Railway Place and Adderley Street,-37.81921901,144.9494167
6051,George Street between Simpson Street and Powlett Street,-37.82111334,144.9467777
6127,Riverside Quay between Cook Street and Southgate Avenue,-37.81957378,144.9447062
8150,Victoria Street between Chetwynd Street and Leveson Street,-37.81680333,144.9816547
5784,Queensberry Street between Chetwynd Street and Leveson Street,-37.81214839,144.9775554
6303,Adderley Street between Roden Street and Hawke Street,-37.8191705,144.9493785
6126,Intersection of Linlithgow Avenue and St Kilda Road,-37.81956463,144.9447377
1313,Station Street between Kay Street and Princes Street,-37.81712687,144.9587539
3034,Lorimer Street between Westgate Freeway and Hartley Street,-37.80304266,144.9570917
3673,Grey Street between Powlett Street and Clarendon Street,-37.8049688,144.9485851
1271,Elgin Street between Rathdowne Street and Drummond Street,-37.81377979,144.9544014
6580,Wimble Street between Morrah Street and Park Drive,-37.81248996,144.9407386
6492,Armadale Street from St Kilda Road,-37.81582627,144.9375428
1872,Grattan Street between Drummond Street and Lygon Street,-37.81495624,144.9569599
3012,Lorimer Street between Hartley Street and Boundary Street,-37.80466018,144.9578383
6327,Intersection of Domain Street and Bromby Street,-37.81872957,144.9498351
5742,Laurens Street between Queensberry Street and Arden Street,-37.81095683,144.9768065
6583,PT5354 from Boathouse Drive,-37.81239846,144.9409807
5795,Dryburgh Street between Victoria Street and Queensberry Street,-37.81527046,144.9760212
1263,Palmerston Street between Drummond Street and Lygon Street,-37.81400914,144.9545079
5337,Stanley Street between Chetwynd Street and King Street,-37.82654574,144.9677204
5732,Melrose Street between Brougham Street and Sutton Street,-37.81087035,144.9777224
4174,Henderson Street between Fogarty Street and Gracie Street,-37.8083898,144.9596519
7966,Alexandra Avenue between Swan Street Bridge and Anderson Street,-37.81749471,144.9819975
1850,Kay Street between Nicholson Street and Station Street,-37.81425874,144.9593981
6124,Leicester Mews from Mercantile Parade,-37.81954633,144.944801
4248,Parkville Avenue between Galada Avenue and Garrard Street,-37.80938773,144.9556399
2588,Drummond Street between Palmerston Street and Princes Street,-37.81393787,144.9565416
6373,Salmon Street between Turner Street and Lorimer Street,-37.82036247,144.9440263
3618,Intersection of Morrah Street and Royal Parade,-37.80566694,144.9548933
7862,Haines Street between Abbotsford Street and Dryburgh Street,-37.81770986,144.9586147
2514,Drummond Street between Queensberry Street and Pelham Street,-37.81279545,144.9605416
1260,Drummond Street between Palmerston Street and Princes Street,-37.81397735,144.9547468
3031,Lorimer Street between Boundary Street and Ingles Street,-37.80315971,144.9570208
3035,Lorimer Street between Westgate Freeway and Hartley Street,-37.8030198,144.9570811
6362,Queensberry Street between Dryburgh Street and Stawell Street,-37.82172022,144.9511259
1273,Cardigan Street between Faraday Street and Elgin Street,-37.81372901,144.9543781
6128,Hope Street between Toorak Road and Domain Road,-37.81964805,144.9444454
6306,Childers Street between Ormond Street and Kensington Road,-37.81961403,144.9497282
1797,Faraday Street between Lygon Street and Cardigan Street,-37.81619516,144.9566943
3038,Lorimer Street between Westgate Freeway and Hartley Street,-37.80300294,144.9569467
6335,MacAulay Road between Haines Street and Fogarty Street,-37.81965271,144.950562
6379,Turner Street between Salmon Street and Douglas Street,-37.81942582,144.9444923
6383,Hawke Street between Spencer Street and Miller Street,-37.82039383,144.9444854
6008,Lorimer Street between West Gate Bridge and Todd Road,-37.8199656,144.9513618
8120,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.81670857,144.9818485
6631,Queensberry Street between Chetwynd Street and Leveson Street,-37.81397041,144.9425503
4278,Intersection of Linlithgow Avenue and St Kilda Road,-37.80928506,144.9558049
4180,Vegemite Way between Salmon Street and Douglas Street,-37.80844275,144.9594691
1772,Grant Street between St Kilda Road and Wells Street,-37.81481547,144.9609399
1326,Palmerston Street between Drummond Street and Lygon Street,-37.81490864,144.9579809
1763,Kavanagh Street between Power Street and Balston Street,-37.81466548,144.9614539
2305,Balston Street between City Road and Kavanagh Street,-37.81058159,144.9684049
3800,Kensington Road between Mercantile Parade and Hobsons Road,-37.80816467,144.954769
